Year,Total Residents,0  -  4 Years,5  -  9 Years,10 - 14 Years,15 - 19 Years,20 - 24 Years,25 - 29 Years,30 - 34 Years,35 - 39 Years,40 - 44 Years,45 - 49 Years,50 - 54 Years,55 - 59 Years,60 - 64 Years,65 - 69 Years,70 - 74 Years,75 - 79 Years,80 - 84 Years,85 - 89 Years,65 Years & Over, 70 Years & Over,75 Years & Over,80 Years & Over,85 Years & Over,90 Years & Over
1988,"2,598,458","204,867","201,533","201,049","220,242","251,275","287,140","278,032","231,251","162,500","133,377","106,280","93,736","74,487","56,802","42,566",na,na,na,"152,688","95,886","53,320",na,na,na
1989,"2,647,627","216,686","202,071","197,204","221,948","239,559","285,964","285,529","241,269","179,267","133,292","112,410","95,644","78,730","58,298","43,498",na,na,na,"158,053","99,755","56,257",na,na,na
1990,"2,735,868","224,049","205,628","198,476","223,305","238,987","290,940","298,323","255,993","206,063","128,439","118,092","100,102","83,021","59,896","45,047","32,336","17,526",na,"164,450","104,554","59,507","27,171","9,645",na
1991,"2,794,704","235,519","205,807","201,155","218,157","234,658","289,839","304,022","269,191","224,210","129,004","126,490","101,397","85,729","61,988","45,868","32,475","18,856",na,"169,526","107,538","61,670","29,195","10,339",na
1992,"2,849,754","245,751","204,724","202,170","213,331","234,805","286,490","306,029","281,688","231,002","147,384","131,902","101,228","87,393","65,005","46,787","32,802","20,031",na,"175,856","110,851","64,064","31,262","11,231",na
1993,"2,904,547","248,771","210,359","206,698","204,085","237,867","281,789","307,731","291,778","240,317","166,332","133,399","103,679","89,063","68,521","47,987","32,968","20,950",na,"182,678","114,157","66,170","33,202","12,252",na
1994,"2,959,350","247,022","223,824","207,032","200,002","239,253","273,264","309,334","300,133","250,783","183,764","133,810","110,127","91,308","72,439","49,283","33,406","21,460",na,"189,695","117,256","67,973","34,567","13,107",na
1995,"3,013,515","248,089","230,583","209,583","199,898","237,425","267,010","308,824","307,434","260,994","208,085","128,066","115,530","95,326","76,091","50,597","34,178","21,689",na,"196,671","120,580","69,983","35,805","14,116",na
1996,"3,068,132","245,148","242,270","209,322","202,379","231,764","263,481","309,094","313,266","273,686","225,769","128,497","123,752","96,790","78,589","52,958","34,657","21,751",na,"202,912","124,323","71,365","36,708","14,957",na
1997,"3,123,403","243,259","253,311","208,388","203,429","226,764","264,769","306,773","315,944","286,259","232,426","146,576","129,003","96,766","80,324","56,176","35,441","21,859",na,"209,736","129,412","73,236","37,795","15,936",na
